anon_id,gender,birth_year,native_language,language_used_at_home,language_used_at_home_now,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,createddate,modifieddate,is_deleted,course_history
ac2,'Female',1981,'Arabic','Arabic Arabic','Arabic English','English','1-2 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2010-02-19 10:12:40','2010-02-19 10:21:23',0,609;610;651;679;680;681
ac3,'Female',1983,'Chinese','Chinese','Chinese','English','1-2 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronuciation;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2007-06-04 13:08:03','2007-07-09 13:05:29',0,217;228;242;253;261
ac4,'Female',1969,'Spanish','Spanish','Spanish','English','1-2 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2010-02-19 13:02:47','2010-02-19 13:06:52',0,619;620;621
ac5,'Male',1986,'Korean','Korean','English','English','more than 5 years',0,'I learned from my friend who is a native speaker;I learned from school in my country.','','',0,'','','',0,'','2007-06-07 13:07:45','2008-01-29 15:02:55',0,216;227;235;246;260;277;288;295;321;348;349;350;351;352
ac7,'Male',1975,'Japanese','Japanese','Japanese Chinese English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced reading aloud;Teacher corrected my mistakes','Cantonese','none',0,'I learned from my friend who is a native speaker;I lived in a country where they spoke Cantonese','','',0,'','2008-09-23 11:09:14','2009-02-10 14:38:17',0,423;430;431;432;434;500;501;502;503;504
ac8,'Male',1981,'Arabic','Arabic Arabic','English English','English','1-2 years',0,'I learned from my friend who is a native speaker','','',0,'','','',0,'','2009-02-16 14:47:26','2009-10-08 15:12:46',0,460;461;464;467;468;513;514;516;517;525;570;571;573;574;587
ad1,'Female',1988,'Korean','Korean','Korean','English','1-2 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Wrote paragrphs/essays','Japanese','less than 1 year',1,'Studied vocabulary;Practiced reading aloud','','',0,'','2006-05-30 10:06:16','2006-09-11 15:11:54',0,46;57;68;79;90;103;115;129;153;175;208
ad2,'Male',1985,'Italian','Italian','English','Spanish','less than 1 year',0,'Studied by myself;I learned from my friend who is a native speaker','','',0,'','','',0,'','2008-06-06 14:04:34','2008-06-06 14:11:29',0,378;379;380;381;382
ad5,'Male',1991,'Arabic','Arabic English','Arabic','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2010-11-16 11:43:29','2010-11-16 11:45:37',0,743;744;745;746;747;806;807;808;809;810;842;888;889;890;893;894
ad6,'Male',1978,'Arabic','Arabic Farsi','Arabic English','English','more than 5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronuciation','','',0,'','','',0,'','2006-02-02 15:06:06','2006-05-23 10:10:23',0,2;10;14;20;28;45;60;67;78;93;106;130
ad8,'Female',1980,'Japanese','Japanese','Japanese','English','more than 5 years',1,'Studied grammar;Studied vocabulary','','',0,'','','',0,'','2008-02-08 14:08:08','2009-02-10 14:37:43',0,332;345;346;364;365;381;382;383;425;426;447;448;449;500;502;503;504;505
ae0,null,ull,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,'2007-11-13 10:50:24',null,0,212;223;248;270;281;314;384;385;388;440
ae2,'Female',1979,'Chinese','Chinese English','Chinese English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English','','',0,'','','',0,'','2008-02-08 14:08:08','2008-06-05 13:03:53',0,345;346;353;354;357;391;392
ae3,'Female',1978,'Taiwanese','Taiwanese','English','Taiwanese','more than 5 years',0,'I lived in a country where they spoke Taiwanese','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced reading aloud','','',0,'','2007-06-07 14:07:08','2007-09-17 11:08:44',0,212;223;234;245;256;274;285;296;318
ae4,'Male',1989,'Spanish','Spanish','Spanish','English','3-5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes','','',0,'','','',0,'','2007-07-10 13:26:48','2007-07-10 13:29:46',0,216;227;235;246;260
af0,'Male',1978,'Thai','Thai','English Thai','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2008-03-31 15:37:59','2008-09-29 11:05:21',0,328;329;330;331;332;374;375;422;424;440;441;443;500;501;504
af2,'Male',1970,'Portuguese','Portuguese Makwa','Portuguese Makwa','Italian','more than 5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','Spanish','less than 1 year',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in Spanish;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','','',0,'','2010-02-19 10:08:13','2010-02-19 10:17:40',0,609;610;617;618;621
af3,'Female',1977,'Arabic','Arabic','Arabic','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2008-10-31 12:09:08','2009-06-08 12:07:22',0,415;416;450;451;452;490;491;492;493;494;533;534;537;543;544
af4,'Female',1977,'Chinese','Chinese','Chinese','English','more than 5 years',1,'Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2009-10-09 15:33:26','2010-02-22 10:11:05',0,571;572;573;585;599;646;647
af5,'Female',1982,'Portuguese','Portuguese','Portuguese English','Spanish','1-2 years',0,'Studied by myself;At school.','French','none',0,'Studied by myself;I studied because I had to understand some books in french. But I just Know how to read.','','',0,'','2006-05-30 09:05:05','2006-06-22 09:08:29',0,47;59;69;80;92
ag0,'Female',1983,'Spanish','Spanish','Spanish','English','more than 5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays','French','3-5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in French;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','','',0,'','2008-09-19 11:03:45','2008-09-26 11:06:43',0,441;442;499
ag4,'Female',1985,'Chinese','Chinese English','Chinese English','English','more than 5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher corrected my mistakes','Japanese','less than 1 year',0,'Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke Japanese','','',0,'','2008-06-05 14:04:56','2008-06-05 14:08:44',0,394;395;396;397;398
ag6,'Female',1980,'Chinese','Chinese Taiwanese','Chinese Taiwanese','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Wrote paragrphs/essays;p.s. sometimes Listened to audio materials not often','Japanese','1-2 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese','','',0,'','2008-06-02 13:02:59','2008-09-29 10:03:56',0,367;369;370;371;373;425;426;427;428;429
ag8,'Female',1975,'Japanese','Japanese','Japanese',null,null,null,null,null,null,null,null,null,null,null,null,'2008-09-29 11:03:40','2008-09-29 11:05:23',0,422;423;424
ag9,'Female',1980,'Korean','Korean','Korean','Japanese','3-5 years',0,'I lived in a country where they spoke Japanese','English','more than 5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud','','',0,'','2009-02-12 14:08:51','2009-11-19 12:06:38',0,465;466;469;482;483;523;524;527;543;544;581;584
ah0,'Male',1972,'Japanese','Japanese English','Japanese English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','German','1-2 years',1,'Studied grammar;Teacher corrected my mistakes','','',0,'','2008-06-06 13:05:41','2008-09-25 11:05:59',0,374;375;376;377;378;440;441;444;453;454
ah1,'Male',1983,'Thai','Thai','Thai English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud','','',0,'','','',0,'','2006-09-12 14:18:50','2007-04-10 13:05:25',0,103;115;127;151;164;175;186;208
ah4,'Male',1985,'Turkish','Turkish English','Turkish','English','3-5 years',1,'Studied grammar;Studied vocabulary;Teacher spoke to me in English','','',0,'','','',0,'','2009-10-09 15:32:30','2010-02-15 11:07:08',0,560;571;572;573;574;622;642;643;644;645
ah5,'Female',1976,'Portuguese','Portuguese','Portuguese English','English','3-5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2010-02-15 10:07:56','2010-02-15 10:11:08',0,600;637;638;639;640
ah8,'Male',1979,'Other','Russian Uzbek','Uzbek',null,null,null,null,null,null,null,null,null,null,null,null,'2008-06-05 13:03:48','2008-06-05 13:05:57',0,389;390;391;392;393
ah9,'Female',1982,'Korean','Korean','English Korean','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Wrote paragrphs/essays','','',0,'','','',0,'','2008-06-09 13:04:45','2008-09-29 10:04:02',0,364;365;366;367;368;425;426;427;428;429
ai0,'Male',1983,'Korean','Korean Arabic','Korean English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)','Japanese','less than 1 year',1,'Studied grammar;Studied vocabulary','','',0,'','2007-06-14 13:46:48','2007-06-28 13:09:55',0,213;224;235;246;257
ai1,'Female',1976,'Arabic','Arabic English','Arabic English','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes','','',0,'','','',0,'','2008-09-29 10:03:26','2009-02-17 15:03:39',0,415;419;426;427;428;480;494;501;506;507;585;586;589
ai2,'Female',1970,'Chinese','Chinese','Chinese','English','more than 5 years',0,'Studied by myself','','',0,'','','',0,'','2010-02-19 10:05:39','2010-02-19 10:11:25',0,609;610
ai4,'Female',1982,'Chinese','Chinese Taiwanese','Taiwanese Chinese','English','3-5 years',0,'in school','','',0,'','','',0,'','2008-06-02 13:02:29','2008-06-10 13:11:45',0,369;370;371;372;373;435;436;437;438;439
ai7,'Male',1990,'Arabic','English English','Arabic English',null,null,null,null,null,null,null,null,null,null,null,null,'2010-02-15 11:14:14','2010-02-15 11:48:05',0,622;623;630;631;643
aj1,'Female',1985,'Taiwanese','Taiwanese Chinese','Taiwanese Chinese','English','more than 5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2010-11-23 11:58:45','2010-11-23 12:01:35',0,733;735;736;737;755
aj5,'Male',1977,'Arabic','Arabic','Arabic English','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2009-06-04 12:19:58','2009-06-04 12:22:23',0,410;421;450;451;452;480;482;483;484;501;540;541;542
aj6,'Male',1983,'Arabic','Arabic English','Arabic','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2007-10-05 09:05:17','2007-10-18 09:57:02',0,270;281;293;314
aj7,'Male',1976,'Spanish','Spanish','Spanish','English','less than 1 year',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs)','','',0,'','','',0,'','2008-10-31 12:08:40','2008-10-31 12:14:51',0,415;416;450;451;452
aj8,'Male',1978,'Chinese','Chinese Taiwanese','Chinese Taiwanese','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays','','',0,'','','',0,'','2006-01-31 15:05:53','2006-09-11 13:09:48',0,6;10;16;24;28;93;118;130
aj9,'Male',1982,'Italian','Italian','Italian','English','1-2 years',0,'Studied by myself','','',0,'','','',0,'','2008-01-31 15:05:58','2008-06-05 13:03:52',0,340;341;348;349;352;391;392
ak0,'Female',1984,'Arabic','Arabic French','Arabic English','English','less than 1 year',0,'I lived in a country where they spoke English','French','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in French;Studied pronuciation;Wrote paragrphs/essays','','',0,'','2006-09-14 15:12:10','2007-04-09 10:06:29',0,101;113;125;149;165;176;187;209
ak5,'Female',1979,'Chinese','Chinese Chinese','Chinese English','English','more than 5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2007-09-20 10:03:15','2007-10-12 10:06:32',0,269;280;291;313
al0,'Male',1983,'Arabic','Arabic','Arabic','English','1-2 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','','',0,'','','',0,'','2009-06-09 11:06:33','2009-10-08 14:07:02',0,510;521;528;529;532;580;581;582;583;584
al2,'Female',1985,'Japanese','Japanese','Japanese English','English','3-5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','French','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Studied pronuciation','German','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials;Practiced reading aloud;Teacher corrected my mistakes','2009-02-13 15:04:22','2009-02-13 15:09:58',0,420;421;424;450;451;487;488;495;496;499
al4,'Female',1985,'Korean','Korean','Korean Japanese','English','more than 5 years',1,'Studied vocabulary','Japanese','1-2 years',1,'Studied grammar;Studied vocabulary;Studied pronuciation','','',0,'','2010-11-11 10:16:32','2010-11-11 10:20:53',0,751
al5,'Male',1983,'Korean','Korean Korean','Korean English','English','more than 5 years',0,'Studied by myself','Japanese','1-2 years',0,'Studied by myself','','',0,'','2009-02-13 14:09:15','2009-06-08 12:05:06',0,489;490;491;492;493;533;534;537;543;544
al6,'Female',1979,'Spanish','Spanish',null,'English','less than 1 year',1,'Had a native-speaker teacher;Listened to audio materials (tapes/CDs);my family speak english','','',0,'','','',0,'','2006-03-16 14:03:56','2006-03-16 14:10:02',0,5;11;17;23;29
al7,'Male',1969,'Korean','Korean','Korean English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Studied pronuciation;Practiced reading aloud','Japanese','less than 1 year',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Studied pronuciation;Practiced reading aloud','','',0,'','2006-07-13 13:52:21','2006-07-13 13:55:00',0,47;59;69;80;92
al9,'Male',1987,'Arabic','Arabic','Arabic English','English','more than 5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2006-02-02 14:09:52','2006-09-11 15:11:34',0,31;32;33;34;35;45;56;67;78;89;105;117;129;153;165;209
am1,'Female',1975,'Arabic','Arabic German','Arabic English','English','more than 5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','German','less than 1 year',0,'Studied by myself','','',0,'','2006-10-27 12:29:23','2007-06-04 14:04:15',0,99;111;147;160;182;204;226;241;252;263
am6,'Female',1980,'Portuguese','Portuguese','Portuguese English','English','less than 1 year',1,'Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Practiced reading aloud','','',0,'','','',0,'','2009-02-12 15:09:24','2009-02-12 15:12:18',0,475;476;477;478;479;522;533;534;535;536
am7,'Male',1983,'Arabic','Arabic Arabic','Arabic Arabic','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);I used to work with none speaking Arabic','','',0,'','','',0,'','2010-02-19 10:06:23','2010-11-11 10:17:23',0,609;610;611;649;650;679;680;681;687;688;730;731;732;749;751;791;802;803;805;812;878
am8,'Female',1982,'Thai','Thai','Thai','English','less than 1 year',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud','Chinese','less than 1 year',1,'Worked in pairs/groups;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronuciation','','',0,'','2006-02-02 14:10:36','2007-02-16 10:35:21',0,19;31;32;33;35;47;58;65;91;106;118;149;182;208
am9,'Female',1972,'Japanese','Japanese','Japanese','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class','','',0,'','','',0,'','2009-10-09 14:12:11','2010-02-16 11:06:34',0,558;567;601;616;630;649;650;673;676;698;732;752
an1,'Female',1982,'Turkish','Turkish','Turkish','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','German','1-2 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in German;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','','',0,'','2009-06-09 11:06:33','2009-10-13 14:05:36',0,510;511;528;529;532;577;578;585;586;589;701
an4,'Male',1979,'Korean','Korean Korean','Korean English','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronuciation;Practiced reading aloud','Japanese','3-5 years',0,'We should studied in high school.','german','1-2 years',0,'We shoud studied second language in high school.','2007-02-20 11:06:02','2007-03-20 11:11:02',0,157;168;179;190;204
an5,'Female',1989,'Korean','Korean','Korean English','English','more than 5 years',1,"'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;I usually read an article or journal quickly, and talked about it in Korean with teacher and students.'",'Japanese','less than 1 year',1,'Studied vocabulary;Practiced speaking in class;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','','',0,'','2009-10-09 15:31:38','2010-02-22 10:26:00',0,560;561;569;572;573;599;617;618;646;647
an9,'Female',1984,'Korean','Korean','Korean','English','more than 5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced reading aloud;Wrote paragrphs/essays','German','less than 1 year',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Studied pronuciation',"'japanese,chinese'",'less than 1 year',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary','2006-09-14 15:12:12','2006-10-19 15:09:58',0,101;113;125;149
ao0,'Female',1980,'Japanese','Japanese','Japanese','English','more than 5 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays','Chinese','1-2 years',1,'Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Chinese;Studied pronuciation;Practiced reading aloud;Teacher corrected my mistakes','','',0,'','2008-09-23 11:08:58','2008-09-30 11:06:30',0,430;431;432;433;434
ao2,'Male',1987,'Arabic','Arabic','Arabic English','English','3-5 years',1,'Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2010-11-12 10:20:19','2010-11-12 10:22:51',0,687;696;705;706;707;759;760;761;762;763
ao4,'Male',1985,'Arabic','Arabic','Arabic','English','more than 5 years',1,'Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Studied pronuciation;Teacher corrected my mistakes;Wrote paragrphs/essays','','',0,'','','',0,'','2010-12-06 11:20:09','2010-12-06 11:24:30',0,719;723;734;735;736;798;799;800;818;819;883;884;885;886;887;946;952;953;954;955
ao6,'Female',1988,'Korean','Korean','Korean','English','less than 1 year',1,'Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Wrote paragrphs/essays','','',0,'','','',0,'','2009-02-13 14:09:10','2009-02-13 14:12:58',0,485;486;492;493;494
ap0,'Male',1978,'Japanese','Japanese','Japanese','English','more than 5 years',1,'Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronuciation;Practiced reading aloud','','',0,'','','',0,'','2011-06-20 14:09:33','2011-06-20 14:12:52',0,845;846;847;871;872
