anon_id,gender,birth_year,native_language,language_used_at_home,language_used_at_home_now,non_native_language_1,yrs_of_study_lang1,study_in_classroom_lang1,ways_of_study_lang1,non_native_language_2,yrs_of_study_lang2,study_in_classroom_lang2,ways_of_study_lang2,non_native_language_3,yrs_of_study_lang3,study_in_classroom_lang3,ways_of_study_lang3,createddate,modifieddate,course_history
cy0,Male,1986,Arabic,Arabic,Arabic,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-01-31 15:06:01,2006-05-26 10:04:00,4;10;16;22;28;47;58;71;82;93
eu4,Male,1987,Arabic,Arabic,Arabic,English,more than 5 years,1,Studied grammar;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes,,,0,other,,,0,other,2006-01-31 15:06:10,2006-05-25 10:12:59,4;11;16;22;28;49;61;72;82;94
be0,Male,1980,French,French,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,Spanish,1-2 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Spanish;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,2006-01-31 15:06:11,2006-03-16 15:06:38,4;10;16;22;28
cj6,Female,1982,Spanish,Spanish,,,,,,,,,,,,,,2006-01-31 15:06:22,,9;16
al9,Male,1987,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-02 14:09:52,2006-09-11 15:11:34,31;32;33;34;35;45;56;67;78;89;105;117;129;153;165;209
dj0,Female,1985,Korean,Korean,Korean,English,1-2 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud,,,0,other,,,0,other,2006-02-02 14:10:01,2006-09-11 15:11:29,31;32;33;34;35;45;56;67;78;89;105;117;129;153
bs7,Female,1968,Japanese,Japanese,,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class,Italian,3-5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in French;Studied pronunciation,French,less than 1 year,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in French;Practiced reading aloud;Teacher corrected my mistakes,2006-02-02 14:10:30,2006-03-17 14:10:31,31;32;33;34;35;45;56;89
bp8,Female,1981,Arabic,Arabic,Arabic;English,English,3-5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud,,,0,other,,,0,other,2006-02-02 14:10:32,2007-04-05 10:13:08,31;32;33;34;35;46;59;68;79;92;164;175;186;208
dr4,Female,1986,Japanese,Japanese,,English,1-2 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-02-02 14:10:33,2006-03-17 14:09:18,31;32;33;34;35;46;59;68;79;92
bb4,Female,1982,Chinese,Chinese;Taiwanese,,English,1-2 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes,,,0,other,,,0,other,2006-02-02 14:10:33,2006-03-17 14:09:21,31;32;33;34;35;45;59;92;115;151
gp4,Male,1986,Arabic,Arabic,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,French,less than 1 year,1,Studied grammar;Studied vocabulary;Teacher spoke to me in French;Studied pronunciation;Teacher corrected my mistakes,,,0,other,2006-02-02 14:10:35,2006-04-07 14:38:29,31;32;33;34;35;47;58;65;80;91;105;117;127;153
am8,Female,1982,Thai,Thai,Thai,English,less than 1 year,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud,Chinese,less than 1 year,1,Worked in pairs/groups;Studied vocabulary;Teacher spoke to me in Chinese;Studied pronunciation,,,0,other,2006-02-02 14:10:36,2007-02-16 10:35:21,19;31;32;33;35;47;58;65;91;106;118;149;182;208
at8,Female,1984,Korean,Korean,,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs),Japanese,less than 1 year,1,Studied grammar;Studied vocabulary;Studied pronunciation,,,0,other,2006-02-02 14:10:36,2006-03-17 14:09:23,31;32;33;34;35;46;59;68;79;92;106;118;129;153
ei7,Male,1983,Korean,Korean,Korean,English,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Teacher corrected my mistakes,,,0,other,,,0,other,2006-02-02 14:10:43,2006-09-14 15:13:08,31;32;33;34;35;42;59;69;80;92;101;113;125;154
er4,Male,1988,Arabic,Arabic;English,Arabic,English,3-5 years,1,Studied grammar;Studied vocabulary;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-02-02 14:10:49,2006-05-30 10:08:13,31;32;33;34;35;46;57;68;79;90;106;115;130;154;176
fb7,Female,1974,Other,Telugu,Telugu;English,English,less than 1 year,1,Studied grammar;Teacher spoke to me in English;Practiced reading aloud,Telugu,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in telugu;Practiced reading aloud;Wrote paragrphs/essays,,,0,other,2006-02-02 15:06:04,2006-05-30 10:07:27,2;8;14;20;26;46;57;68;90
ga3,Female,1976,Chinese,Chinese,Chinese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Listened to audio materials (tapes/CDs);Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-02 15:06:04,2007-04-09 10:06:23,2;14;20;47;54;69;80;87;106;115;130;150;176;187;209
fk5,Male,1958,Korean,Korean,Korean,English,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English,,,0,other,,,0,other,2006-02-02 15:06:04,2007-02-20 10:06:22,2;8;14;20;26;99;111;123;147;158;169;180;202
ea7,Female,1974,Spanish,Spanish,Spanish;English,English,3-5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-02 15:06:04,2006-05-23 10:07:27,2;8;14;20;26;45;59;67;78;92;118;154
dc8,Female,1979,Korean,Korean,,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Practiced speaking in class;Teacher spoke to me in English;Studied pronunciation;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-02 15:06:04,2006-03-13 15:09:00,2;8;14;20;26;47;59;69;80;92
cx6,Male,1985,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-02 15:06:05,2006-05-23 10:10:46,2;8;14;20;26;45;56;67;78;89;106;118;130;154
ch7,Male,1985,Arabic,Arabic,Arabic;English,English,less than 1 year,1,Studied grammar;Studied vocabulary;Practiced reading aloud,,,0,other,,,0,other,2006-02-02 15:06:05,2006-05-30 10:08:35,2;8;14;20;26;46;57;68;79;90;106;114;130;150
ew1,Female,1981,Spanish,Spanish,,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Wrote paragrphs/essays,Italian,less than 1 year,0,I lived in a country where they spoke Italian,,,0,other,2006-02-02 15:06:05,2006-03-13 15:09:14,4;10;14;20;28
by1,Male,1987,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Teacher corrected my mistakes,,,0,other,,,0,other,2006-02-02 15:06:06,2006-05-23 10:09:24,2;8;14;20;26;45;56;67;78;89;103;118;129;151;165;176
ad6,Male,1978,Arabic,Arabic;Farsi,Arabic;English,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Studied pronunciation,,,0,other,,,0,other,2006-02-02 15:06:06,2006-05-23 10:10:23,2;10;14;20;28;45;60;67;78;93;106;130
fe5,Male,1987,Arabic,Arabic,Arabic,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-02 15:06:07,2006-09-11 15:12:46,2;8;14;20;26;46;57;68;79;90;105;117;129;153
cb1,Male,1982,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-02 15:07:27,2006-09-11 13:09:28,2;8;14;20;26;45;56;67;78;89;106;118;130;154
bx2,Female,1969,Korean,Korean;English,,,,,,,,,,,,,,2006-02-07 09:57:43,,4;10;28
gd3,Male,1981,Turkish,Turkish,,,,,,,,,,,,,,2006-02-07 10:00:49,,4;10;28
ek4,Female,1974,Korean,Korean,,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Listened to audio materials (tapes/CDs);Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-02-07 10:12:46,2006-04-04 10:04:43,4;10;28
fg3,Female,1954,Japanese,Japanese;English,,,,,,,,,,,,,,2006-02-07 12:09:39,,5;12;23;29
dj4,Male,1979,Arabic,Arabic;English,Arabic;English,English,1-2 years,0,Studied by myself;I learned from my friend who is a native speaker;I lived in a country where they spoke English,,,0,other,,,0,other,2006-02-14 11:00:54,2006-05-25 10:12:33,3;22;26;47;58;72;91
bq1,Female,1968,Russian,Russian;English,,Italian,1-2 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in Italian;Teacher corrected my mistakes,English,1-2 years,1,Studied grammar;Worked in pairs/groups;Had a native-speaker teacher;Studied vocabulary;Teacher spoke to me in English;Teacher corrected my mistakes;Wrote paragrphs/essays,Estonian,1-2 years,0,Studied by myself;I lived in a country where they spoke Estonian,2006-02-14 12:10:11,2006-04-04 12:10:16,5;27
ei8,Female,1963,Chinese,Chinese;Japanese,Chinese,English,less than 1 year,1,Studied vocabulary;Practiced reading aloud,Japanese,1-2 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in Japanese;Studied pronunciation;Practiced reading aloud,,,0,other,2006-02-23 14:26:51,2007-09-17 10:03:36,1;7;13;19;25;43;54;66;76;87;123;150;161;172;183;205;220;242;264;276;287;298;320;422;423
eh8,Male,1985,Arabic,Arabic,Arabic,English,more than 5 years,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-23 14:27:03,2006-09-12 14:20:17,1;7;13;19;25;44;53;66;75;86;103;115;127;151;164;172;206
dr5,Male,1987,Arabic,Arabic,Arabic,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-23 14:27:04,2006-09-12 14:20:00,1;7;13;19;25;43;54;65;76;87;103;115;127;151;165;176;187;209
cl4,Male,1986,Arabic,Arabic,Arabic;English,English,1-2 years,0,Studied by myself,,,0,other,,,0,other,2006-02-23 14:27:05,2006-09-14 15:12:12,1;7;13;19;25;43;53;64;75;86;98;113;125;149
cz7,Male,1987,Arabic,Arabic,Arabic;English,English,more than 5 years,1,Studied grammar;Worked in pairs/groups;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes;Wrote paragrphs/essays,,,0,other,,,0,other,2006-02-23 14:27:06,2006-09-14 15:13:04,1;7;13;19;25;44;54;66;76;87;98;113;125;149
gj4,Male,1987,Arabic,Arabic,Arabic,English,less than 1 year,1,Studied grammar;Had a native-speaker teacher;Studied vocabulary;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Practiced reading aloud;Teacher corrected my mistakes,,,0,other,,,0,other,2006-02-23 14:27:06,2007-04-16 14:58:54,1;7;13;19;35;43;54;65;76;91;102;114;125;153;165;176;187
aq1,Female,1969,Chinese,Chinese,Chinese,English,more than 5 years,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Listened to audio materials (tapes/CDs);Teacher spoke to me in English;Studied pronunciation;Practiced reading aloud;Teacher corrected my mistakes,German,less than 1 year,1,Studied grammar;Studied vocabulary;Practiced speaking in class;Teacher spoke to me in German;Teacher corrected my mistakes,,,0,other,2006-02-23 14:27:07,2007-06-04 14:03:39,1;13;19;42;53;64;74;86;102;111;126;150;162;173;184;208;230;241;252;263;389;393;772;776;820
